S.No;GroupName;Members;Group Type;Group Scope;Domain Name;OU Name;Distinguished Name
148;Express Check Out;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Express Check Out,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
162;Games TI;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Games TI,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
174;Gebepar;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Gebepar,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
175;Gebepar e Parceiros;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Gebepar e Parceiros,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
180;Gerentes - Costa do Sauipe;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Gerentes - Costa do Sauipe,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
181;Gestores A&B - Costa do Sauipe;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Gestores A&B - Costa do Sauipe,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
182;GETI - Gestão de Qualidade;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=GETI - Gestão de Qualidade,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
183;GETI - PMO;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=GETI - PMO,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
372;Gol Log;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Gol Log,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
385;Grupos - Costa do Sauipe;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Grupos - Costa do Sauipe,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
386;Grupos Hot Park;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Grupos Hot Park,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
387;Grupos Internacionais - Costa do Sauipe;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Grupos Internacionais - Costa do Sauipe,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
388;Grupos Lazer - Costa do Sauipe;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Grupos Lazer - Costa do Sauipe,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
391;indiqueumamigo;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=indiqueumamigo,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
393;Lideres CRHP;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Lideres CRHP,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
394;Lideres de Vendas;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Lideres de Vendas,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
396;Líderes Steward - Costa do Sauipe;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Líderes Steward - Costa do Sauipe,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
395;Loja Goiânia;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Loja Goiânia,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
397;Marketing - Criação;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Marketing - Criação,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
398;Marketing - Criação Web;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Marketing - Criação Web,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
399;Marketing - Operadora;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Marketing - Operadora,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
400;Monitor SWT;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Monitor SWT,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
401;Natureza Hospitalidade;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Natureza Hospitalidade,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
403;Nfe A&B - Costa do Sauipe;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Nfe A&B - Costa do Sauipe,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
